title,year,name,type,character,n
Closet Monster,2015,Buffy #1,actor,Buffy 4,31.0
Suuri illusioni,1985,Homo $,actor,Guests,22.0
Battle of the Sexes,2017,$hutter,actor,Bobby Riggs Fan,10.0
Secret in Their Eyes,2015,$hutter,actor,2002 Dodger Fan,
Steve Jobs,2015,$hutter,actor,1988 Opera House Patron,
Straight Outta Compton,2015,$hutter,actor,Club Patron,
Straight Outta Compton,2015,$hutter,actor,Dopeman,
For Thy Love 2,2009,Bee Moe $lim,actor,Thug 1,
"Lapis, Ballpen at Diploma, a True to Life Journey",2014,Jori ' Danilo' Jurado Jr.,actor,Jaime (young),9.0
Desire (III),2014,Syaiful 'Ariffin,actor,Actor Playing Eteocles from 'Antigone',
When the Man Went South,2014,Taipaleti 'Atu'ake,actor,Two Palms - Ua'i Paame,8.0
Little Angel (Angelita),2015,Michael 'babeepower' Viera,actor,Chico,9.0
Mixing Nia,1998,Michael 'babeepower' Viera,actor,Rapper,
The Replacements,2000,Steven 'Bear'Boyd,actor,Defensive Tackle - Washington Sentinels,
All Out Dysfunktion!,2016,Kirlew 'bliss' Vilbon,actor,Bliss,
My Song for You,2010,George 'Bootsy' Thomas,actor,Cooley's Customer,16.0
My Song for You,2010,George 'Bootsy' Thomas,actor,Celebration Guest,16.0
Hustle Beach,2017,Pete 'Boretta' Torres,actor,Tony,
Mariano Mison... NBI,1997,Joseph 'Byron' Sese,actor,Putik's Son,31.0
B-Girl,2009,Jesse 'Casper' Brown,actor,Battle Judge,25.0
Battle of the Year,2013,Jesse 'Casper' Brown,actor,Rebel,9.0
Honey 2,2011,Jesse 'Casper' Brown,actor,Freestyle Dancer,73.0
Kickin' It Old Skool,2007,Jesse 'Casper' Brown,actor,Cole,10.0
Step Up All In,2014,Jesse 'Casper' Brown,actor,Grim Knight Dancer,61.0
The LXD: The Secrets of the Ra,2011,Jesse 'Casper' Brown,actor,Fangz,
Todo x Sara,2014,Gil 'Colibri'Viera,actor,Llavero,
Barrio Gangsters,2009,Marcelino 'Dibujo' Torres,actor,Dibujo,
"Cornmeal, Gunpowder, Ham Hocks and Guitar Strings",2015,Donnie 'Dicky' Clemson,actor,Jeb Kinney,
The LXD: The Secrets of the Ra,2011,Dondraico 'Draico' Johnson,actor,Umbra,
Pelotazo nacional,1993,F?lix 'El Gato',actor,Rebolledo,12.0
Los tarantos,1963,'El Guisa',actor,Bailaor,25.0
De la calle,2001,Luis 'El Plojo',actor,Froil?n plaza del estudiante,80.0
Los tarantos,1963,'El Viti',actor,Cantaor,20.0
They Want Dick Dickster,2015,Zhavier' (II) 'Fox,actor,Dr. Shrinkalotsky,25.0
Mahogany Sunrise,2014,Gilberto 'Ghetto Bird' Bahena,actor,Jesse,21.0
Wakolda,2013,Marcelo 'Hos' Bearzi,actor,Due?o de la hoster?a,18.0
Killing Device,1993,Van 'Igor' Morrison,actor,Jeep Driver,51.0
Troop 491: the Adventures of the Muddy Lions,2013,Ellias 'Illy' Liban,actor,Big Gook,
Heron's Story,2008,David 'Jumbles' Cook,actor,Man at Bar 3,
Been Down So Long It Looks Like Up to Me,1971,Murray the 'K',actor,Himself,
I Wanna Hold Your Hand,1978,Murray the 'K',actor,Himself,48.0
That's the Way of the World,1975,Murray the 'K',actor,Big John Little,22.0
Violencia urbana,1996,N?stor 'Kick Boxer',actor,Monta?a,21.0
Nothing Like the Holidays,2008,Johnny 'Koolout' Starks,actor,Alexis' Thug,35.0
Ransum Games,2014,Johnny 'Koolout' Starks,actor,Henchman #3,6.0
Subtle Seduction,2008,Johnny 'Koolout' Starks,actor,Officer Ward,9.0
The Godfather of Green Bay,2005,Johnny 'Koolout' Starks,actor,Marcus,18.0
Using,2015,Johnny 'Koolout' Starks,actor,Randall Dawson,10.0
El secuestro de un periodista,1992,Tony 'La Chispa',actor,Doctor Giraldo,
Violencia en la sierra,1995,Tony 'La Chispa',actor,Victoriano,4.0
Rebecca's Window,2006,Yradier 'Lito' Tejada,actor,Sammy,4.0
Zeroville,2016,Mike 'Mad Dog' Adams,actor,Hippie Guitar Player,
In the Land of the Head Hunters,1914,Paddy 'Malid,actor,Kenada,5.0
Meridian,2016,Cameron 'Mascot' Benjamin,actor,Meridian Soldier,
Jenny's Wedding,2015,Hildy 'McGillicuddy' Johnson,actor,Mickey the Dog,26.0
Los tarantos,1963,'Morita',actor,Cantaor,18.0
Los tarantos,1963,'Pucherete',actor,Guitarist,14.0
Reflections of Evil,2002,'Raff',actor,Real LAPD Officer,57.0
All Out Dysfunktion!,2016,Seth 'Reaktion' Hillard,actor,Reaktion,
Cellar Secret,2017,Andrew 'Shotgun' Smith,actor,Narrator,13.0
Step Fast,1994,Chris 'Slick' Nesevitch,actor,Continental Club Dancers,
Battle of the Year,2013,Rafael 'Spax' Szulc-Vollmann,actor,MC Spax,51.0
Josephine Doe,2015,Michael 'Stake' Morton III,actor,Cashier,8.0
Fire Down Below,1957,'Stretch' Cox Troupe,actor,Limbo Dance by,20.0
De zaak M.P.,1960,Frans 't Hoen,actor,Hollandse boer,29.0
Dorp aan de rivier,1958,Frans 't Hoen,actor,Dirk Jan,15.0
Moord in extase,1984,Dick 't Hooft,actor,Officier van Justitie,46.0
48 minuten,2013,Rogier in 't Hout,actor,Willem,
Del Playa,2015,Harry 'The Carpenter' Mansoori,actor,Detective,
Battle of the Year,2013,Albert 'Trix' Thompson,actor,MC Trix,52.0
Transformers: Revenge of the Fallen,2009,Leon 'Vietnam'Carswell,actor,Tribesman,
Kohtaro in Space Wonderland,2014,Akira -,actor,Kohtaro,
Kayan Beauties,2012,Francis -,actor,Khuda,
Kohtaro in Space Wonderland,2014,Hiei -,actor,Male Chocolate CM,
Kohtaro in Space Wonderland,2014,Hiroki -,actor,Mechanic Engineer,
Kohtaro in Space Wonderland,2014,Karu -,actor,Mechanic Engineer,
Big Weekend,2011,Paulex -,actor,Alex,16.0
Post Traumatic,2016,Trinity Lynn Marie Chisholm -,actor,War Victim #1,
Three from the Block,2016,Esteban Rodriguez -Alverio,actor,Chris,
The Colour of Darkness,2016,Ketan Daraji -Gohel,actor,Chhagan,
London Betty,2009,Isaiah Entsua -Mensah,actor,Camera Man,
Rudyard Kipling's Mark of the Beast,2012,Isaiah Entsua -Mensah,actor,Isaiah,
The Empire Strikes Back Uncut: Director's Cut,2014,Ben .,actor,Han Solo,
Candelabra,2014,Groovin .,actor,Lt. Dick Sims,5.0
Bad Ideas,2012,Hamid .,actor,The Diner,
Nunnunarvu,2016,Indira (II) .,actor,Charu,
Four Wise Monkeys,2016,Paddy .,actor,Shawn's Dad,17.0
"When, Where, How?",2014,Tedarryl .,actor,George Sinclair,
The Genderfellator,2011,Texas .,actor,Rip,
Who's the Man?,1993,Todd 1,actor,Shorty,10.0
Love Hollywood Style,2006,Mac 10,actor,Himself,
King of the Ville,2011,10Gzy,actor,Crazy,
Big Apple,2002,Angel 11:11,actor,Angel,2.0
Zoolander,2001,Angel 11:11,actor,Funky Loft Guest,86.0
DGK: Parental Advisory,2012,12th Planet,actor,Themselves,
Malibu Horror Story,2016,12th Planet,actor,Himself,
Inland Empire,2006,Nick 13,actor,Archaeologist,89.0
Live Freaky Die Freaky,2006,Nick 13,actor,TV Reporter #1,1.0
Mary Jane's Not a Virgin Anymore,1998,Nick 13,actor,Punk party kid,
Wild Wheels,1969,13th Committee,actor,Themselves,11.0
Angry Video Game Nerd: The Movie,2014,Sergeant 16-bit,actor,AVGN Webcam Fan,382.0
